,m1,m2,m3,m4,m5,m6
4726,aff.nor,questn,chunk,aff.nor,questn,end
4727,chunk,aff.nor,questn,aff.nor,aff.nor,phone
4728,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
4729,aff.nor,aff.nor,chunk,aff.nor,questn,end
4730,questn,aff.nor,questn,questn,questn,end
4731,aff.nor,chunk,chunk,chunk,questn,end
4732,piss.off,aff.nor,aff.nor,questn,aff.nor,end
4733,aff.nor,questn,chunk,chunk,questn,end
4734,aff.nor,aff.nor,questn,chunk,chunk,end
4735,aff.nor,aff.nor,aff.nor,chunk,chunk,phone
4737,aff.nor,chunk,aff.nor,aff.nor,aff.nor,end
4738,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
4739,aff.nor,aff.nor,chunk,chunk,questn,phone
4740,aff.nor,aff.nor,questn,aff.nor,aff.nor,phone
4741,questn,piss.off,questn,questn,questn,phone
4742,piss.off,aff.nor,questn,questn,questn,end
4743,aff.nor,questn,aff.nor,questn,aff.nor,end
4744,aff.nor,questn,chunk,chunk,questn,end
4745,questn,aff.nor,questn,questn,questn,end
4746,aff.nor,aff.nor,chunk,chunk,chunk,end
4747,aff.nor,questn,questn,aff.nor,piss.off,end
4748,questn,questn,chunk,chunk,chunk,end
4749,aff.nor,chunk,chunk,chunk,chunk,end
4750,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
4751,aff.nor,chunk,questn,questn,questn,phone
4752,aff.nor,questn,chunk,chunk,questn,end
4753,piss.off,aff.nor,aff.nor,questn,aff.nor,end
4754,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
4755,aff.nor,aff.nor,aff.nor,aff.nor,questn,phone
4756,aff.nor,aff.nor,piss.off,questn,aff.nor,end
4757,questn,aff.nor,chunk,aff.nor,aff.nor,end
4758,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
4759,aff.nor,aff.nor,questn,questn,questn,end
4760,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
4761,aff.nor,aff.nor,chunk,chunk,chunk,end
4762,chunk,questn,aff.nor,aff.nor,aff.nor,piss.off
4763,questn,questn,questn,questn,questn,end
4764,aff.nor,aff.nor,questn,questn,questn,end
4765,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
4766,questn,aff.nor,questn,aff.nor,aff.nor,phone
4767,aff.nor,aff.nor,chunk,chunk,questn,end
4768,aff.nor,questn,chunk,questn,questn,phone
4769,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4771,aff.nor,questn,questn,questn,aff.nor,phone
4772,aff.nor,aff.nor,questn,questn,questn,end
4773,aff.nor,questn,aff.nor,questn,aff.nor,end
4774,aff.nor,questn,chunk,chunk,questn,end
4775,aff.nor,chunk,aff.nor,questn,aff.nor,end
4776,aff.nor,aff.nor,questn,questn,questn,end
4778,chunk,piss.off,aff.nor,aff.nor,aff.nor,piss.off
4780,aff.nor,questn,chunk,chunk,chunk,end
4782,questn,questn,questn,aff.nor,questn,end
4784,piss.off,aff.nor,chunk,chunk,questn,end
4785,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
4786,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4788,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4789,piss.off,questn,aff.nor,aff.nor,aff.nor,end
4790,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4791,aff.nor,aff.nor,aff.nor,questn,chunk,end
4792,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
4793,questn,questn,questn,questn,questn,end
4794,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
4795,aff.nor,chunk,aff.nor,questn,chunk,end
4796,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4797,questn,questn,questn,questn,questn,end
4799,piss.off,aff.nor,aff.off,aff.off,aff.off,end
4800,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
4802,questn,aff.nor,piss.off,piss.off,aff.nor,end
4803,aff.nor,chunk,chunk,questn,questn,end
4804,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
4805,aff.nor,aff.nor,chunk,chunk,chunk,end
4806,chunk,aff.nor,aff.nor,aff.nor,aff.nor,phone
4808,aff.nor,chunk,aff.nor,questn,aff.nor,end
4809,aff.nor,aff.nor,aff.nor,chunk,aff.nor,end
4810,questn,aff.nor,aff.nor,questn,questn,end
4811,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
4812,aff.nor,aff.nor,chunk,chunk,chunk,end
4813,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
4814,questn,questn,aff.nor,questn,aff.nor,end
4815,chunk,aff.nor,questn,questn,questn,end
4816,questn,chunk,chunk,chunk,questn,end
4817,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
4818,aff.nor,chunk,questn,questn,questn,end
4819,aff.nor,questn,questn,aff.nor,aff.nor,end
4820,chunk,aff.nor,aff.nor,questn,aff.nor,phone
4821,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
4822,chunk,aff.nor,chunk,chunk,chunk,end
4823,aff.nor,questn,chunk,chunk,questn,end
4824,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
4825,piss.off,chunk,aff.nor,questn,questn,end
4826,questn,aff.nor,aff.off,aff.off,aff.off,piss.off
4827,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4828,aff.nor,aff.nor,questn,aff.nor,questn,end
4829,questn,aff.nor,chunk,chunk,chunk,end
4830,aff.nor,chunk,aff.off,aff.off,aff.off,piss.off
4831,questn,aff.nor,chunk,chunk,chunk,end
4832,aff.nor,aff.nor,chunk,chunk,questn,end
4833,chunk,questn,chunk,chunk,questn,end
4834,aff.nor,questn,aff.nor,aff.nor,questn,end
4835,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
4836,chunk,aff.nor,chunk,chunk,chunk,end
4837,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
4838,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
4839,aff.nor,piss.off,aff.nor,questn,aff.nor,end
4840,questn,aff.nor,aff.nor,questn,aff.nor,end
4841,aff.nor,questn,chunk,chunk,questn,end
4842,questn,questn,aff.off,aff.off,aff.off,piss.off
4843,questn,questn,aff.nor,aff.nor,chunk,phone
4844,questn,aff.nor,questn,questn,questn,end
4845,chunk,aff.nor,chunk,chunk,chunk,end
4846,aff.nor,questn,aff.nor,questn,questn,phone
4847,chunk,aff.nor,chunk,chunk,chunk,end
4848,aff.nor,piss.off,chunk,chunk,chunk,end
4849,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
4850,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
4851,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
4852,questn,chunk,questn,chunk,aff.nor,end
4853,aff.nor,questn,aff.off,aff.off,aff.off,end
4854,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4855,chunk,aff.nor,chunk,questn,aff.nor,piss.off
4856,aff.nor,aff.nor,chunk,chunk,questn,end
4857,aff.nor,questn,questn,questn,questn,end
4858,questn,aff.nor,questn,aff.nor,piss.off,end
4859,aff.nor,piss.off,questn,questn,aff.nor,end
4860,questn,chunk,aff.off,aff.off,aff.off,piss.off
4861,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
4862,aff.nor,aff.nor,chunk,chunk,chunk,end
4863,aff.nor,aff.nor,questn,questn,questn,end
4864,questn,aff.nor,aff.off,aff.off,aff.off,piss.off
4865,aff.nor,aff.nor,chunk,chunk,chunk,end
4866,questn,aff.nor,chunk,chunk,questn,end
4867,chunk,aff.nor,aff.nor,aff.nor,questn,phone
4868,questn,chunk,chunk,chunk,questn,end
4869,aff.nor,aff.nor,aff.nor,questn,chunk,phone
4870,aff.nor,aff.nor,chunk,chunk,questn,end
4871,aff.nor,aff.nor,aff.nor,aff.nor,chunk,end
4872,aff.nor,aff.nor,questn,aff.nor,questn,end
4873,aff.nor,chunk,aff.nor,aff.nor,aff.nor,end
4874,aff.nor,questn,chunk,chunk,questn,end
4875,chunk,aff.nor,questn,aff.nor,aff.nor,end
4876,aff.nor,aff.nor,questn,questn,questn,end
4877,questn,questn,aff.off,aff.off,aff.off,end
4878,questn,aff.nor,chunk,chunk,questn,end
4879,questn,aff.nor,chunk,aff.nor,aff.nor,end
4880,chunk,aff.nor,questn,aff.nor,aff.nor,end
4881,aff.nor,aff.nor,chunk,chunk,questn,end
4882,aff.nor,chunk,aff.off,aff.off,aff.off,piss.off
4883,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
4884,questn,aff.nor,questn,aff.nor,aff.nor,end
4885,aff.nor,questn,chunk,chunk,questn,phone
4886,questn,aff.nor,aff.nor,aff.nor,questn,piss.off
4887,questn,chunk,aff.off,aff.off,aff.off,end
4888,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4889,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
4890,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
4891,questn,aff.nor,aff.nor,aff.nor,questn,end
4892,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
4893,aff.nor,questn,aff.nor,chunk,aff.nor,end
4894,aff.nor,aff.nor,questn,chunk,questn,piss.off
4895,chunk,chunk,piss.off,questn,questn,end
4896,aff.nor,questn,aff.nor,aff.nor,aff.nor,phone
4897,questn,aff.nor,aff.nor,questn,questn,end
4898,aff.nor,questn,aff.nor,aff.nor,questn,end
4899,questn,questn,aff.nor,questn,aff.nor,end
4900,aff.nor,chunk,aff.nor,aff.nor,chunk,end
4901,questn,questn,chunk,chunk,questn,phone
4902,chunk,chunk,aff.nor,piss.off,aff.nor,end
4903,aff.nor,questn,questn,aff.nor,aff.nor,end
4904,aff.nor,questn,aff.nor,questn,aff.nor,piss.off
4905,questn,aff.nor,aff.nor,aff.nor,aff.nor,phone
4906,aff.nor,aff.nor,chunk,chunk,chunk,end
4907,chunk,aff.nor,chunk,chunk,chunk,end
4908,aff.nor,aff.nor,aff.nor,questn,aff.nor,phone
4909,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
4910,aff.nor,chunk,aff.nor,aff.nor,questn,phone
4911,questn,aff.nor,aff.nor,aff.nor,chunk,end
4912,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
4913,aff.nor,questn,questn,questn,questn,end
4914,aff.nor,aff.nor,aff.nor,chunk,aff.nor,end
4915,questn,aff.nor,aff.nor,aff.nor,questn,end
4916,aff.nor,aff.nor,chunk,chunk,questn,end
4917,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
4918,questn,chunk,questn,chunk,aff.nor,end
4919,aff.nor,aff.nor,chunk,chunk,chunk,end
4920,aff.nor,aff.nor,aff.nor,questn,aff.nor,phone
4921,aff.nor,aff.nor,questn,questn,questn,end
4922,aff.nor,questn,aff.nor,aff.nor,questn,end
4923,aff.nor,aff.nor,aff.nor,chunk,aff.nor,end
4924,aff.nor,aff.nor,chunk,aff.nor,chunk,piss.off
4925,aff.nor,aff.nor,aff.off,aff.off,aff.off,phone
4926,aff.nor,aff.nor,chunk,chunk,questn,end
4927,aff.nor,aff.nor,questn,questn,questn,end
4928,piss.off,questn,chunk,chunk,questn,end
4929,aff.nor,questn,chunk,chunk,chunk,end
4930,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
4931,aff.nor,aff.nor,questn,questn,questn,end
4932,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
4933,chunk,aff.nor,questn,questn,questn,end
4934,aff.nor,questn,aff.off,aff.off,aff.off,piss.off
4935,questn,questn,aff.nor,questn,aff.nor,end
4936,aff.nor,aff.nor,chunk,chunk,chunk,end
4937,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4938,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4939,aff.nor,aff.nor,chunk,chunk,questn,end
4940,piss.off,chunk,aff.off,aff.off,aff.off,end
4941,aff.nor,aff.nor,chunk,chunk,chunk,end
4942,chunk,aff.nor,chunk,aff.nor,aff.nor,end
4943,aff.nor,aff.nor,chunk,chunk,questn,end
4944,aff.nor,aff.nor,questn,questn,questn,end
4945,aff.nor,aff.nor,chunk,chunk,questn,end
4946,chunk,aff.nor,chunk,chunk,chunk,end
4947,aff.nor,aff.nor,chunk,chunk,questn,end
4948,piss.off,questn,aff.nor,aff.nor,aff.nor,end
4949,aff.nor,aff.nor,chunk,chunk,chunk,end
4950,aff.nor,chunk,chunk,chunk,questn,end
4951,questn,aff.nor,questn,aff.nor,aff.nor,end
4952,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4953,questn,questn,aff.nor,aff.nor,aff.nor,end
4954,questn,aff.nor,chunk,chunk,questn,end
4955,questn,aff.nor,chunk,chunk,questn,end
4956,aff.nor,chunk,aff.nor,questn,aff.nor,phone
4957,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
4958,questn,aff.nor,aff.nor,aff.nor,chunk,end
4960,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
4961,chunk,aff.nor,aff.nor,aff.nor,aff.nor,piss.off
4962,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
4963,aff.nor,aff.nor,questn,questn,questn,end
4964,aff.nor,questn,aff.nor,aff.nor,questn,end
4965,aff.nor,questn,aff.nor,aff.nor,chunk,end
4966,questn,aff.nor,aff.nor,aff.nor,aff.nor,piss.off
4967,aff.nor,aff.nor,chunk,chunk,questn,end
4968,aff.nor,aff.nor,aff.off,aff.off,aff.off,phone
4969,chunk,aff.nor,aff.nor,aff.nor,questn,end
4970,aff.nor,questn,questn,questn,questn,end
4971,aff.nor,chunk,aff.nor,chunk,questn,phone
4972,questn,aff.nor,chunk,chunk,questn,end
4973,aff.nor,questn,aff.nor,piss.off,questn,end
4974,aff.nor,aff.nor,chunk,chunk,questn,end
4975,aff.nor,chunk,aff.off,aff.off,aff.off,piss.off
4976,aff.nor,aff.nor,aff.nor,aff.nor,chunk,end
4977,aff.nor,questn,questn,questn,questn,end
4978,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4979,piss.off,questn,aff.nor,aff.nor,aff.nor,end
4980,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
4981,aff.nor,aff.nor,questn,questn,aff.nor,phone
4982,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
4983,aff.nor,aff.nor,aff.nor,aff.nor,piss.off,end
4984,questn,aff.nor,questn,questn,questn,end
4985,aff.nor,questn,chunk,chunk,chunk,end
4986,chunk,aff.nor,questn,questn,questn,end
4987,aff.nor,questn,chunk,chunk,questn,end
4988,aff.nor,aff.nor,aff.nor,aff.nor,chunk,phone
4989,aff.nor,aff.nor,questn,questn,questn,end
4990,questn,aff.nor,aff.nor,aff.nor,aff.nor,phone
4991,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
4992,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
4993,aff.nor,aff.nor,chunk,chunk,chunk,end
4994,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
4995,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4996,aff.nor,aff.nor,aff.nor,chunk,aff.nor,end
4997,questn,aff.nor,chunk,chunk,questn,end
4998,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
4999,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
5000,aff.nor,questn,chunk,chunk,questn,end
5001,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
5002,questn,aff.nor,aff.nor,questn,questn,end
5003,aff.nor,aff.nor,aff.nor,chunk,questn,end
5004,chunk,aff.nor,questn,aff.nor,aff.nor,phone
5005,aff.nor,aff.nor,chunk,chunk,questn,end
5006,aff.nor,chunk,questn,questn,questn,end
5007,piss.off,aff.nor,questn,aff.nor,aff.nor,end
5008,chunk,questn,aff.nor,questn,piss.off,end
5009,questn,aff.nor,aff.nor,aff.nor,chunk,phone
5010,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
5011,aff.nor,aff.nor,chunk,chunk,questn,end
5012,questn,chunk,chunk,chunk,chunk,end
5013,aff.nor,aff.nor,aff.nor,chunk,chunk,end
5014,questn,questn,chunk,chunk,questn,end
5015,questn,aff.nor,aff.nor,aff.nor,questn,end
5016,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
5017,aff.nor,aff.nor,chunk,chunk,chunk,end
5018,chunk,aff.nor,aff.nor,questn,aff.nor,end
5019,questn,questn,chunk,chunk,chunk,end
5022,aff.nor,questn,aff.nor,aff.nor,questn,phone
5023,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
5024,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
5025,aff.nor,aff.nor,chunk,chunk,chunk,end
5026,questn,piss.off,aff.nor,questn,aff.nor,end
5027,aff.nor,aff.nor,chunk,chunk,questn,end
5028,aff.nor,aff.nor,aff.nor,aff.nor,chunk,end
5029,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
5030,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
5031,chunk,aff.nor,aff.off,aff.off,aff.off,end
5032,chunk,questn,questn,chunk,aff.nor,end
5033,aff.nor,aff.nor,questn,questn,questn,end
5034,aff.nor,aff.nor,chunk,aff.nor,aff.nor,phone
5035,aff.nor,aff.nor,chunk,chunk,chunk,end
5036,aff.nor,aff.nor,aff.nor,questn,aff.nor,phone
5037,aff.nor,questn,chunk,chunk,questn,end
5038,questn,aff.nor,aff.off,aff.off,aff.off,end
5039,aff.nor,aff.nor,chunk,chunk,chunk,end
5040,questn,aff.nor,aff.nor,questn,aff.nor,end
5041,chunk,aff.nor,chunk,chunk,chunk,end
5042,aff.nor,aff.nor,chunk,chunk,questn,end
5043,chunk,aff.nor,questn,aff.nor,chunk,end
5044,aff.nor,chunk,chunk,chunk,chunk,end
5045,aff.nor,questn,aff.off,aff.off,aff.off,piss.off
5046,aff.nor,aff.nor,aff.nor,questn,chunk,end
5047,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5048,questn,aff.nor,aff.off,aff.off,aff.off,piss.off
5049,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
5050,aff.nor,aff.nor,questn,questn,questn,end
5051,questn,questn,aff.nor,questn,questn,end
5052,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
5053,questn,aff.nor,chunk,chunk,questn,end
5055,aff.nor,chunk,piss.off,chunk,aff.nor,phone
5056,questn,aff.nor,chunk,chunk,chunk,end
5057,aff.nor,chunk,aff.nor,chunk,aff.nor,end
5058,aff.nor,aff.nor,aff.nor,aff.nor,questn,phone
5059,aff.nor,aff.nor,questn,aff.nor,aff.nor,phone
5060,aff.nor,aff.nor,questn,questn,aff.nor,end
5061,questn,aff.nor,aff.nor,questn,aff.nor,phone
5062,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
5063,aff.nor,questn,aff.nor,aff.nor,questn,end
5065,chunk,aff.nor,chunk,aff.nor,aff.nor,end
5066,aff.nor,aff.nor,aff.nor,questn,questn,end
5067,questn,aff.nor,questn,questn,questn,end
5073,chunk,aff.nor,questn,questn,aff.nor,end
5074,chunk,aff.nor,aff.off,aff.off,aff.off,piss.off
5075,aff.nor,aff.nor,chunk,chunk,questn,end
5076,questn,aff.nor,chunk,chunk,chunk,end
5077,questn,aff.nor,aff.nor,questn,questn,end
5078,questn,aff.nor,questn,aff.nor,chunk,end
5079,aff.nor,aff.nor,aff.nor,questn,questn,end
5080,chunk,questn,aff.off,aff.off,aff.off,piss.off
5081,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5085,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5086,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
5088,aff.nor,aff.nor,chunk,chunk,chunk,end
5089,aff.nor,aff.nor,chunk,chunk,chunk,end
5090,chunk,aff.nor,aff.nor,questn,aff.nor,end
5092,aff.nor,aff.nor,chunk,chunk,questn,end
5093,aff.nor,aff.nor,aff.nor,aff.nor,chunk,phone
5096,aff.nor,aff.nor,aff.nor,questn,questn,end
5097,aff.nor,questn,aff.nor,questn,aff.nor,end
5098,aff.nor,aff.nor,chunk,chunk,chunk,end
5099,aff.nor,aff.nor,chunk,chunk,chunk,end
5100,aff.nor,questn,chunk,chunk,questn,end
5101,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
5102,aff.nor,aff.nor,questn,aff.nor,chunk,end
5103,questn,aff.nor,questn,aff.nor,aff.nor,phone
5104,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
5105,questn,aff.nor,aff.nor,aff.nor,aff.nor,phone
5106,questn,questn,chunk,chunk,chunk,end
5107,aff.nor,aff.nor,chunk,chunk,chunk,end
5108,aff.nor,aff.nor,chunk,chunk,aff.nor,end
5109,aff.nor,aff.nor,chunk,chunk,chunk,end
5110,aff.nor,aff.nor,chunk,chunk,chunk,end
5111,questn,chunk,aff.nor,aff.nor,aff.nor,end
5112,aff.nor,aff.nor,chunk,chunk,chunk,end
5113,aff.nor,aff.nor,aff.nor,chunk,aff.nor,end
5114,chunk,aff.nor,aff.nor,aff.nor,aff.nor,phone
5115,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,piss.off
5116,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5117,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
5118,questn,aff.nor,chunk,chunk,questn,end
5119,aff.nor,questn,chunk,chunk,chunk,end
5120,aff.nor,chunk,aff.nor,questn,aff.nor,end
5121,aff.nor,aff.nor,questn,questn,questn,end
5122,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5123,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
5124,questn,piss.off,aff.nor,questn,aff.nor,end
5125,chunk,questn,questn,chunk,aff.nor,end
5126,aff.nor,questn,aff.nor,questn,aff.nor,piss.off
5127,aff.nor,chunk,chunk,chunk,chunk,end
5128,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5129,aff.nor,aff.nor,chunk,chunk,questn,end
5130,aff.nor,chunk,aff.nor,aff.nor,aff.nor,end
5131,chunk,aff.nor,questn,aff.nor,aff.nor,end
5132,aff.nor,questn,aff.off,aff.off,aff.off,end
5133,aff.nor,aff.nor,questn,aff.nor,questn,end
5134,questn,questn,aff.nor,chunk,aff.nor,end
5135,aff.nor,questn,chunk,chunk,chunk,end
5136,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
5137,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
5138,chunk,aff.nor,chunk,chunk,chunk,end
5139,questn,aff.nor,aff.off,aff.off,aff.off,end
5140,aff.nor,aff.nor,chunk,chunk,chunk,end
5141,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5142,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
5143,aff.nor,questn,questn,questn,questn,end
5144,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
5145,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
5146,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
5147,aff.nor,piss.off,chunk,chunk,questn,end
5148,aff.nor,chunk,aff.nor,aff.nor,aff.nor,end
5149,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5150,questn,aff.nor,chunk,chunk,chunk,end
5151,aff.nor,aff.nor,questn,aff.nor,aff.nor,phone
5152,aff.nor,questn,aff.nor,aff.nor,questn,end
5153,aff.nor,aff.nor,chunk,chunk,questn,end
5154,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
5155,aff.nor,aff.nor,chunk,chunk,questn,end
5156,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
5157,aff.nor,aff.nor,aff.nor,aff.nor,questn,phone
5158,aff.nor,questn,aff.off,aff.off,aff.off,phone
5159,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
5160,aff.nor,questn,chunk,chunk,questn,end
5161,aff.nor,questn,aff.off,aff.off,aff.off,piss.off
5162,aff.nor,aff.nor,aff.nor,aff.nor,questn,phone
5163,questn,questn,questn,questn,questn,end
5164,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5165,aff.nor,piss.off,questn,questn,questn,end
5166,aff.nor,piss.off,aff.nor,aff.nor,aff.nor,phone
5167,aff.nor,aff.nor,aff.nor,aff.nor,chunk,end
5168,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
5169,aff.nor,chunk,questn,questn,questn,end
5170,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
5171,aff.nor,aff.nor,aff.nor,chunk,aff.nor,piss.off
5172,questn,aff.nor,chunk,chunk,chunk,end
5173,aff.nor,chunk,questn,aff.nor,questn,end
5174,questn,aff.nor,aff.nor,aff.nor,questn,phone
5175,aff.nor,aff.nor,questn,questn,questn,end
5176,aff.nor,aff.nor,questn,questn,questn,end
5177,aff.nor,questn,chunk,chunk,chunk,end
5178,aff.nor,questn,aff.nor,aff.nor,aff.nor,phone
5179,aff.nor,questn,chunk,chunk,questn,end
5180,aff.nor,questn,chunk,chunk,chunk,end
5181,aff.nor,questn,aff.nor,questn,questn,end
5182,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5183,aff.nor,aff.nor,chunk,chunk,questn,end
5184,aff.nor,questn,chunk,aff.nor,aff.nor,end
5185,aff.nor,chunk,chunk,aff.nor,aff.nor,end
5186,questn,questn,aff.nor,questn,aff.nor,end
5187,questn,chunk,aff.nor,aff.nor,aff.nor,end
5188,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
5189,aff.nor,questn,chunk,chunk,chunk,end
5190,questn,questn,chunk,chunk,chunk,phone
5191,questn,aff.nor,aff.nor,chunk,aff.nor,end
5192,aff.nor,piss.off,chunk,chunk,questn,end
5193,aff.nor,aff.nor,chunk,chunk,chunk,end
5194,aff.nor,aff.nor,questn,questn,questn,end
5195,aff.nor,aff.nor,aff.nor,chunk,questn,phone
5196,questn,aff.nor,chunk,aff.nor,aff.nor,end
5197,questn,chunk,questn,aff.nor,questn,phone
5198,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
5199,aff.nor,questn,aff.nor,aff.nor,chunk,end
5200,questn,aff.nor,chunk,chunk,chunk,end
5201,aff.nor,aff.nor,aff.nor,questn,questn,end
5202,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
5203,aff.nor,aff.nor,questn,questn,questn,end
5204,aff.nor,aff.nor,questn,questn,questn,end
5205,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
5206,aff.nor,aff.nor,questn,questn,questn,end
5207,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5208,questn,aff.nor,questn,questn,chunk,end
5209,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
5210,aff.nor,chunk,aff.nor,aff.nor,aff.nor,end
5211,aff.nor,aff.nor,questn,chunk,questn,end
5212,chunk,questn,aff.nor,chunk,chunk,end
5213,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
5214,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
5215,aff.nor,questn,chunk,chunk,questn,end
5216,questn,aff.nor,chunk,chunk,questn,end
5217,aff.nor,aff.nor,aff.nor,chunk,aff.nor,end
5218,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
5219,chunk,chunk,questn,questn,questn,end
5220,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
5221,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,piss.off
5222,questn,aff.nor,chunk,chunk,chunk,end
5223,aff.nor,questn,chunk,chunk,questn,end
5224,aff.nor,aff.nor,chunk,chunk,questn,end
5225,aff.nor,aff.nor,chunk,chunk,questn,end
5226,piss.off,aff.nor,aff.off,aff.off,aff.off,end
5227,aff.nor,aff.nor,aff.nor,aff.nor,chunk,end
